,name,mnf,style,alc,ratings,avg,rev_link
19,Pothole Filler Imperial Stout,Howe Sound Inn & Brewing Company,Stout - Russian Imperial,9.00%,205,4.06,/beer/profile/11977/44763/
20,Blackstone Porter,Driftwood Brewery,Porter - English,6.00%,115,4.08,/beer/profile/18858/46769/
21,Sovereign Super Saison,Four Winds Brewing Co.,Farmhouse Ale - Saison,8.50%,37,4.2,/beer/profile/32184/142498/
22,Phaedra,Four Winds Brewing Co.,IPA - Belgian,7.20%,52,4.14,/beer/profile/32184/118461/
23,Four Winds IPA,Four Winds Brewing Co.,IPA - American,7.00%,97,4.07,/beer/profile/32184/97080/
24,Happyness,Superflux,IPA - American,7.50%,35,4.19,/beer/profile/43553/206638/
25,Belgian Black,Lighthouse Brewing Company,Strong Ale - Belgian Dark,9.00%,36,4.18,/beer/profile/2385/77793/
26,Saison Brett,Four Winds Brewing Co.,Farmhouse Ale - Saison,7.00%,26,4.25,/beer/profile/32184/106316/
27,Shipwreck IPA,Lighthouse Brewing Company,IPA - American,6.50%,131,4.04,/beer/profile/2385/79399/
28,Juicy AF,Boombox Brewing Company,IPA - New England,7.50%,17,4.35,/beer/profile/50933/312524/
29,Pablo Esco Gnar,Superflux,IPA - American,6.50%,12,4.5,/beer/profile/43553/332467/
30,Cabin Fever Imperial Black Ale,Phillips Brewing Company,IPA - Black / Cascadian Dark Ale,8.50%,56,4.09,/beer/profile/2675/90961/
31,The Hammer - Barrel Aged,Phillips Brewing Company,Stout - Russian Imperial,8.30%,55,4.09,/beer/profile/2675/65337/
32,Imperial Flanders Red Ale,Storm Brewing,Sour - Flanders Red Ale,11.00%,43,4.12,/beer/profile/3445/73604/
33,Alpha Dog,Yellow Dog Brewing,Pale Ale - American,5.50%,26,4.21,/beer/profile/35919/193023/
34,High 5 Hazy IPA,Yellow Dog Brewing,IPA - New England,7.00%,42,4.12,/beer/profile/35919/258435/
35,Widowmaker,Backcountry Brewing,IPA - American,6.70%,26,4.2,/beer/profile/49780/293278/
36,Woolly Bugger,Howe Sound Inn & Brewing Company,Barleywine - English,11.00%,103,4.03,/beer/profile/11977/77012/
37,Amnesiac Double IPA,Phillips Brewing Company,IPA - Imperial,8.50%,257,3.99,/beer/profile/2675/21164/
38,Numbskull,Lighthouse Brewing Company,IPA - Imperial,9.10%,61,4.06,/beer/profile/2385/96190/
39,Black Plague Stout,Storm Brewing,Stout - Oatmeal,8.50%,36,4.12,/beer/profile/3445/16766/
40,Rainbow Machine,Superflux,IPA - American,7.50%,17,4.29,/beer/profile/43553/277927/
41,Entangled Hopfenweisse,Driftwood Brewery,Wheat Beer - Hefeweizen,7.00%,57,4.06,/beer/profile/18858/145084/
42,Double Infinity,Superflux,IPA - Imperial,8.00%,15,4.32,/beer/profile/43553/307515/
43,Double IPA,Persephone Brewing,IPA - Imperial,9.00%,34,4.11,/beer/profile/32889/111454/
44,La Maison,Four Winds Brewing Co.,Farmhouse Ale - Saison,4.50%,34,4.11,/beer/profile/32184/233797/
45,Passionfruit Berliner Weisse,Four Winds Brewing Co.,Sour - Berliner Weisse,3.50%,12,4.39,/beer/profile/32184/178624/
46,Hoppin' Cretin IPA,Tofino Brewing Company,IPA - American,7.50%,71,4.02,/beer/profile/25428/73356/
